ModuleName	Parameters	Inputs	Outputs	
GWA_RE	TIMESTEP,CELLSIZE,CELLWIDTH,GW0,GWMAX,DF_COEF,KG,BASE_EX,ROOTDEPTH,SUBBASIN,SLOPE	D_PERCOLATION_2D,D_SOMO_2D,D_INET,D_DEET,D_SOET,D_PET,T_GWNEW	GWWB,REVAP,RG,SBQG,SBPET,SBGS	
IKW_REACH	DT_CH,K_CHB,K_BANK,EP_CH,BNK0,CHS0,VSEEP0,A_BNK,B_BNK,MSK_X,MSK_CO1,RCHPARAM,SUBBASIN	D_SBOF,D_SBIF,D_SBQG,D_SBPET,D_SBGS	QRECH,QOUTLET,QSOUTLET,QS,QI,QG,CHST,BKST,SEEPAGE,CHWTDEPTH	
IUH_IF	TIMESTEP,CELLWIDTH,OL_IUH,SUBBASIN	D_SSRU	SBIF	
IUH_OL	TIMESTEP,CELLWIDTH,SUBBASIN,OL_IUH	D_SURU	SBOF	
MUSK_CH	DT_CH,K_CHB,K_BANK,EP_CH,BNK0,CHS0,VSEEP0,A_BNK,B_BNK,MSK_X,MSK_CO1,VELSCALEFACTOR,RCHPARAM,SUBBASIN	D_SBOF,D_SBIF,D_SBQG,D_SBPET,D_SBGS	QRECH,QOUTLET,QSOUTLET,QS,QI,QG,CHST,BKST,SEEPAGE,CHWTDEPTH	
PER_PI	TIMESTEP,T_SOIL,ROOTDEPTH,CONDUCTIVITY_2D,POROSITY_2D,POREINDEX_2D,FIELDCAP_2D	D_SOTE,D_INFIL,D_SOMO_2D	PERCOLATION_2D	
PER_STR	TIMESTEP,T_SOIL,ROOTDEPTH,CONDUCTIVITY_2D,POROSITY_2D,POREINDEX_2D,FIELDCAP_2D	D_SOTE,D_INFIL,D_SOMO_2D	PERCOLATION_2D	
PET_H	K_PET,LATITUDE_M	TMAX,TMIN	T_PET	
PET_PM	CO2,COND_RATE,COND_MAX,T_SNOW,K_PET,STATIONELEVATION_M,LATITUDE_M	TMIN,TMAX,RM,SR,WS	T_PET	
PET_PT	T_SNOW,K_PET,STATIONELEVATION_M,LATITUDE_M	TMIN,TMAX,RM,SR	T_PET	
PI_MSM	INTERC_MAX,INTERC_MIN,PI_B,INIT_IS	D_P,D_PET	INLO,INET,NEPR	
SET_LM	ROOTDEPTH,T_SOIL,FIELDCAP_2D,WILTINGPOINT_2D	D_PET,D_INET,D_DEET,D_SOTE,D_SOMO_2D	SOET	
SNO_DD	C_SNOW,C_RAIN,T0,T_SNOW,SWE0	D_NEPR,D_TMIN,D_TMAX	SNME,SNAC	
SNO_SP	T0,K_BLOW,T_SNOW,SWE0,LAG_SNOW,C_SNOW6,C_SNOW12	D_NEPR,D_SNAC,SWE,D_SNRD,D_SNSB,D_TMIN,D_TMAX	SNME	
SNO_WB	CELLSIZE,K_BLOW,T0,T_SNOW,SWE0,SUBBASINSELECTED,SUBBASIN	D_NEPR,D_SNRD,D_SNSB,D_SNME,D_TMIN,D_TMAX,D_P,T_WS	SNAC,SNWB,SWE	
