OBJECTID	ICNUM	CPNM	IDC	CROPNAME	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	MAT_YRS	BMX_TREES	EXT_COEF	BM_DIEOFF	OpSchedule
25	25	JHGR	6	Johnsongrass	35.00	0.90	2.50	0.15	0.05	0.57	0.95	0.50	1.00	2.00	30.00	11.00	0.02	2.8e-03	0.04	0.01	0.01	6.0e-03	2.2e-03	1.8e-03	0.90	0.20	5.0e-03	4.00	0.75	8.50	660.00	36.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
26	26	SUGC	6	Sugarcane	25.00	0.50	6.00	0.15	0.01	0.50	0.95	0.75	3.00	2.00	25.00	11.00	0.00	0.00	0.01	4.0e-03	2.5e-03	7.5e-03	3.0e-03	1.9e-03	0.01	1.0e-03	5.0e-03	4.00	0.75	10.00	660.00	33.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
27	27	SWHT	5	Spring Wheat	35.00	0.42	4.00	0.15	0.05	0.50	0.95	0.60	0.90	2.00	18.00	0.00	0.02	3.3e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.20	0.03	6.0e-03	4.00	0.75	8.00	660.00	46.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
28	28	WWHT	5	Winter Wheat	30.00	0.40	4.00	0.05	0.05	0.45	0.95	0.50	0.90	1.30	18.00	0.00	0.02	2.2e-03	0.06	0.02	0.01	5.3e-03	2.0e-03	1.2e-03	0.20	0.03	6.0e-03	4.00	0.75	6.00	660.00	39.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
29	29	DWHT	5	Durum Wheat	30.00	0.40	4.00	0.15	0.01	0.50	0.95	0.80	1.00	2.00	15.00	0.00	0.02	5.7e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.20	0.03	6.0e-03	4.00	0.75	7.00	660.00	45.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
30	30	RYE	5	Rye	35.00	0.40	4.00	0.15	0.01	0.50	0.95	0.80	1.00	1.80	12.50	0.00	0.02	4.2e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.20	0.03	0.01	4.00	0.75	7.00	660.00	45.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
31	31	BARL	5	Spring Barley	35.00	0.54	4.00	0.15	0.01	0.45	0.95	0.60	1.20	1.30	25.00	0.00	0.02	1.7e-03	0.05	0.02	0.01	5.7e-03	2.2e-03	1.3e-03	0.20	0.01	8.0e-03	4.00	0.75	7.00	660.00	45.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
32	32	OATS	5	Oats	35.00	0.42	4.00	0.15	0.02	0.50	0.95	0.80	1.50	2.00	15.00	0.00	0.03	5.7e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.17	0.03	5.0e-03	4.00	0.75	10.00	660.00	45.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.45	0.10	AGRR
33	33	RICE	4	Rice	22.00	0.50	5.00	0.30	0.01	0.70	0.95	0.80	0.80	0.90	25.00	10.00	0.01	1.3e-03	0.05	0.02	0.01	6.0e-03	3.0e-03	1.8e-03	0.25	0.03	8.0e-03	4.00	0.75	5.00	660.00	31.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.35	0.10	AGRR
34	34	PMIL	4	Pearl Millet	35.00	0.25	2.50	0.15	0.01	0.50	0.95	0.85	3.00	2.00	30.00	10.00	0.02	2.8e-03	0.04	0.03	0.01	6.0e-03	2.2e-03	1.2e-03	0.10	0.20	0.01	4.00	0.75	8.00	660.00	40.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
