## Table title (columns are split by Tab!)
TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
TEXT	TEXT	TEXT	TEXT	TEXT	REAL	REAL	VARCHAR(2)	REAL	REAL	VARCHAR(1)

WaterBalance	k_soil10	ratio between soil temperature at 10 cm and the mean		STP_FP	1	0	AC	3	0	Y
WaterBalance	soil_t10	soil temperature relative to short grass cover	deg C	STP_FP	-99	1	RC	2	0	Y
WaterBalance	rv_co	Groundwater revap coefficient		GW_RSVR	0	0	AC	0.2	0	Y
WaterBalance	t_soil	Soil freezing temperature	deg C	ALL	-5	0	AC	0	-15	Y
WaterBalance	s_frozen	Frozen moisture relative to porosity with no infiltration		ALL	0.5	0	AC	1	0.1	Y
WaterBalance	Residual	soil residual moisture	m3/m3	ALL	-99	1	RC	1.2	0.8	Y

Discharge	Ol_iuh	Overland flow IUH		ALL	-999		NC			Y
Discharge	Ch_iuh	Channel flow IUH		ChannelRouting	-999		NC			Y
Discharge	Reach	Reach properties		ALL	-99	0	NC	0	0	Y
Discharge	Ki	Interflow scaling factor		SSR_DA	3	0	AC	10	0	Y
Discharge	Kg	Baseflow recession coefficient		GW_RSVR	5E-5	0	AC	0.1	0.001	Y
Discharge	Base_ex	Baseflow exponent		GW_RSVR	1	1	AC	4	1	Y
Discharge	df_coef	Deep percolation coefficient		GW_RSVR	0	0	AC	1	0	
Discharge	gw0	Initial groundwater storage	mm	GW_RSVR	100	0	AC	1000	0	Y
Discharge	gwmax	Maximum groundwater storage	mm	GW_RSVR	300	0	AC	1000	0	Y
Discharge	k_chb	channel bottom hydraulic conductivity	mm/hr	ALL	0.5	0	AC	150	0	Y
Discharge	k_bank	channel bank hydraulic conductivity	mm/hr	ALL	20	0	AC	150	0	Y
Discharge	ep_ch	reach evaporation adjustment factor		ALL	1	0	AC	1	0	Y
Discharge	bnk0	Initial bank storage	m3/m	ALL	0	0	AC	1	0	Y
Discharge	chs0	initial channel storage	m3/m	All	0	0	AC	100	0	Y
Discharge	a_bnk	bank flow recession constant		ALL	0.2	0	AC	1	0	Y
Discharge	b_bnk	bank storage loss coefficient		ALL	0.05	0	AC	0.2	0.02	Y
Discharge	ReachParameter	the parameters of each reach		ALL	-999		NC			Y
Discharge	MSK_X	Muskingum weighting factor		ChannelRouting	0.2	0	AC	0.5	0	
Discharge	MSK_co1	Weighting factor of bankful flow		ChannelRouting	0.7	0	AC	1	0	
Discharge	q_iter	Thrashold of storage change rate	m3/s	ChannelRouting	0.01	0	AC	0.1	0.001	
Discharge	n_iter	maximum number of iteration		ChannelRouting	10	0	AC	30	3	
Discharge	s_iter	Threshold of reservoir storage change rate	m3	ALL	50	0	AC	1000	10	Y
Discharge	n_iter_rs	Maximum number of reservoir routing iteration		ALL	10	0	AC	30	3	Y
Discharge	FLOWOUT_INDEX	The index of flow in cell in the compressed array		ALL	-99	0	AC			N
Discharge	FLOWIN_INDEX	The index of flow in cell in the compressed array		ALL	-999	0	AC			N
Discharge	ROUTING_LAYERS	Routing layers according to the flow direction		ALL	-999	0	AC			N
Discharge	FLOW_DIR	Flow direction		ALL	-99	0	AC			N
Discharge	CHWIDTH	Channel width	m	ALL	-99	0	AC			N
Discharge	MANNING	Manning's n		ALL	-99	0	AC	0.001	10	Y
Discharge	THETA	Parameter theta for the implicit finite deffirent equation		ALL	0.75	0	AC	1	0	Y
Discharge	STREAM_LINK	Stream link		ALL	-99	0	AC			N
Discharge	STREAM_ORDER	Stream Order		ALL	-99	0	AC			N
Discharge	ReachParameter	Reach parameters such as mannning's n, upstream subbasins and so on.		ALL	-999	0	AC			N
Discharge	VelScaleFactor	Scale factor used to adjust V0 in CH_MUSK		CH_MUSK	1	0	AC	1.5	0.5	Y
Discharge	CH_ManningFactor	Manning scaling factor of channel routing		IKW_CH	1	0	AC	3	0.1	Y

Sediment	USLE_C	the cover management factor	 	ALL	-99	0	NC			Y
Sediment	USLE_P	the erosion control practice factor		ALL	-99		NC			Y
Sediment	USLE_K	the soil erodibility factor		ALL	-99		NC			Y
Sediment	flow_acc	the number of flow accumulation cells of each cell		ALL	-99		NC			Y
Sediment	T0_s	time of concentration	hr	ALL	-99		NC			Y
Sediment	adj_pkr	peak rate adjustment factor		MUSLE_I30	1	0	AC	1	0.1	Y
Sediment	rain_yrs	number of yeares of data used to obtain values for RAINHHMX		MUSLE_I30	10	0	AC	10	5	Y
Sediment	decay	dacay constant	1/day	ChannelRouting	0.184	0	NC			Y
Sediment	spcon	 Coefficient in sediment transport equation		ChannelRouting	0.0001	0.0001	AC	0.01	0.0001	Y
Sediment	p_rf	 Peak rate adjustment factor 		ChannelRouting	1	0.1	AC	3	1	Y
Sediment	spexp	Exponent in sediment transport equation		ChannelRouting	1.5	0.1	AC	2	1	Y
Sediment	sed_chi	Initial channel sediment concentration	ton/m^3	ChannelRouting	0.03	0.01	AC	1	0	Y
Sediment	vcrit	critical veldeg Ctiy for sediment deposition	m/s	ChannelRouting	0.01	0.01	AC	1	0	Y
Sediment	downcut	 whether do the channel downcutting and widening		ChannelRouting	1	0	NC	1	0	Y
Sediment	rsd_covco	residue cover factor for computing fraction of cover		MUSLEC_LAI	0.3	0.1	AC	0.5	0.1	Y
Sediment	Spl_delratio	Splash delivery ratio		SplashEro_KinEen	0.1	1	RC	1	0	Y
Sediment	RandRough	The random roughness	cm	SplashEro_KinEen	-99	0	NC	20	0.05	Y
Sediment	Omega	calibration coefficient of splash detachment erosion		SplashEro_Park	0.02	1	RC	10	0.0001	Y
Sediment	ccoe	calibration coefficient of overland flow detachment erosion		KinWavSed_OL	0.05	1	RC	100	0.001	Y
Sediment	eco1	calibration coefficient of transport capacity calculation		KinWavSed_OL	146	1	RC	1000	0.001	Y
Sediment	eco2	calibration coefficient of transport capacity calculation		KinWavSed_OL	14600	1	RC	1000	0.001	Y
Sediment	ChTcCo	calibration coefficient of transport capacity calculation		KinWavSed_CH	0.8	1	RC	100000	0.001	Y
Sediment	ChDetCo	calibration coefficient of channel flow detachment		KinWavSed_CH	0.001	1	RC	1	0.0001	Y
Sediment	depRatio	deposition ratio	None	MUSLE_AS	0.8	1	RC	1	0	Y


InstreamWQ	ai0	Ratio of algal biomass to chlorophyII-a	ug chla/mg alg	ChannelRouting	50			100	10	
InstreamWQ	ai1	Fraction of algal biomass that is nitrogen	mg N/mg alg	ChannelRouting	0.08			0.09	0.07	
InstreamWQ	ai2	Fraction of algal biomass that is phosphorous	mg P/mg alg	ChannelRouting	0.015			0.02	0.01	
InstreamWQ	ai3	Rate of oxygen production per unit of algal photosynthesis	mg O2/mg alg	ChannelRouting	1.6			1.8	1.4	
InstreamWQ	ai4	Rate of oxygen uptake per unit of alga respiration	mg O2/mg alg	ChannelRouting	2			2.3	1.6	
InstreamWQ	ai5	Rate of oxygen uptake per unit of NH3 nitrogen oxidation	mg O2/mg NH3-N	ChannelRouting	3.5			4	3	
InstreamWQ	ai6	Rate of oxygen uptake per unit of NO2 nitrogen oxidation	mg O2/mg NO2-N	ChannelRouting	1.07			1.14	1	
InstreamWQ	algae	Algal biomass concentration in reach on the first day	mg alg/L	ChannelRouting	0					
InstreamWQ	nh3	Ammonia concentration in reach on the first day	mg N/L	ChannelRouting	0					
InstreamWQ	chlora	ChlorophyII-a concentration in reach on the first day	mg chla/L	ChannelRouting	0					
InstreamWQ	disp	Dissolved P concentration in reach on the first day	mg P/L	ChannelRouting	0					
InstreamWQ	k_l	Half saturation coefficient for light	kJ/(m2-min)	ChannelRouting	0.75			1.135	0.2227	
InstreamWQ	k_n	Michaelis-mention half-saturation constant for nitrogen	mg N/L	ChannelRouting	0.02			0.03	0.01	
InstreamWQ	k_p	Michaelis-mention half-saturation constant for P	mg P/L	ChannelRouting	0.025			0.05	0.001	
InstreamWQ	lambda0	Non-algal portion of hte light extinction coefficient	1/m	ChannelRouting	1					
InstreamWQ	lambda1	Linear algal self-shading coefficient	(1/m) 1/(ug chla/L)	ChannelRouting	0.03			0.065	0.0065	
InstreamWQ	lambda2	Nonlinear alga self-shading coefficient	(1/m) (ug chla/L)^(-2/3)	ChannelRouting	0.0541			0.0541	0.0541	
InstreamWQ	mumax	Maximum specific algal growth rate at 20 deg C	1/day	ChannelRouting	2			3	1	
InstreamWQ	no3	NO3-N concentration in reach on the first day	mg N/L	ChannelRouting	0					
InstreamWQ	no2	NO2-N concentration in reach on the first day	mg N/L	ChannelRouting	0					
InstreamWQ	orgn	Organic N concentration in reach on the first day	mg N/L	ChannelRouting	0					
InstreamWQ	orgp	Organic P concentration in reach on the first day	mg P/L	ChannelRouting	0					
InstreamWQ	p_n	Algal preference factor for ammonia	none	ChannelRouting	0.5			1	0.01	
InstreamWQ	cbod	Carbonaceous bideg Chemical oxygen demand in reach on the frist day	mg O2/L	ChannelRouting	0					
InstreamWQ	diso2	Dissolved oxygen concentration in reach on the first day	mg O2/L	ChannelRouting	0					
InstreamWQ	rhoq	Algal respiration rate coefficient in reach at 20 deg C	1/day	ChannelRouting	0.3			0.5	0.05	
InstreamWQ	tfact	Fraction of solar radiation computed in the temperature heat balance that is photosynthetically active	none	ChannelRouting	0.3			1	0.1	

Nutrient	InitConc_NO3	Initial average concentration of NO3 in the soil	kg/kg	All	0.001	1	RC	0.001	1E-5	Y
Nutrient	InitConc_P	Initial average concentration of P in the soil	kg/kg	All	0.001	1	RC	0.001	1E-5	Y
Nutrient	InitConc_NH4	Initial average concentration of NH4 in the soil	kg/kg	All	0.001	1	RC	0.001	1E-5	Y
Nutrient	ConRainNitra	concentration of nitrate in the rain	mg N/L	ATMDEP	0	0	AC	15	0	Y
Nutrient	ConRainAmm	Concentration of ammonia in rainfall	mg N/L	ATMDEP	0	0	AC	15	0	Y
Nutrient	cmn	Rate coefficient for mineralization of the humus active organic nutrients	none	NMINRL	0.002	0	AC	0.003	0.001	Y
Nutrient	cdn	rate coefficient for denitrification	none	NMINRL	1	1	RC	3	0	Y
Nutrient	nactfr	nitrogen active pool fraction	none	NMINRL	0.02	1	RC	1	0	Y
Nutrient	sdnco	denitrification threshold: fraction of field capacity	none	NMINRL	1.02	1	RC	1	0	Y
Nutrient	psp	nitrogen active pool fraction	none	NMINRL	0.02	1	RC	1	0	Y
Nutrient	nperco	Nitrogen percolation coefficient	none	NutRemv	0.5	1	RC	1	0	Y
Nutrient	pperco	Phosphorus percolation coefficient	none	NutRemv	10	0	AC	17.5	10	Y
Nutrient	phoskd	Phosphorus soil partitioning coefficient	none	NutRemv	175	0	AC	200	100	Y
Nutrient	isep_opt	Phosphorus sorption coefficient	none	NutRemv	0.4	1	RC	0.7	0.01	Y
Nutrient	rca	Atmospheric deposition of ammonium	mg/L	ATMDEP	2	1	RC	2	0	Y
Nutrient	rcn	Atmospheric deposition of nitrate	mg/L	ATMDEP	1	1	RC	1	0	Y
Nutrient	drydep_nh4	Atmospheric dry deposition of ammonium	kg/ha/yr	ATMDEP	1	1	RC	1	0	Y
Nutrient	drydep_no3	Atmospheric dry deposition of nitrates	kg/ha/yr	ATMDEP	5	1	RC	7	0	Y
Nutrient	ai0	Ratio of chlorophyll-a to algal biomass	ug/mg	NutCHRout	50	0	AC	100	10	Y
Nutrient	ai1	Fraction of algal biomass that is nigrogen	mg/mg	NutCHRout	0.08	1	RC	0.09	0.07	Y
Nutrient	ai2	Fraction of algal biomass that is phosphorus	mg/mg	NutCHRout	0.015	1	RC	0.02	0.01	Y
Nutrient	ai3	Rate of oxygen production per unit algal photosynthesis	mg/mg	NutCHRout	1.6	0	AC	1.8	1.4	Y
Nutrient	ai4	Rate of oxygen uptake per unit algal respiration	mg/mg	NutCHRout	2.0	0	AC	2.3	1.6	Y
Nutrient	ai5	Rate of oxygen uptake per unit NH3-N oxidation	mg/mg	NutCHRout	3.5	0	AC	4	3	Y
Nutrient	ai6	Rate of oxygen uptake per unit NO2-N oxidation	mg/mg	NutCHRout	1.07	1	RC	1.14	1	Y
Nutrient	lambda0	Non-algal portion of hte light extinction coefficient	1/m	NutCHRout	1	0	AC	10	0	Y
Nutrient	lambda1	Linear algal self-shading coefficient	(1/m)1/(ug chla/L)	NutCHRout	0.03	1	RC	0.065	0.0065	Y
Nutrient	lambda2	Nonlinear alga self-shading coefficient	(1/m)(ug chla/L)^(-2/3)	NutCHRout	0.0541	1	RC	1	0	Y
Nutrient	k_l	Half-saturation coefficient for light	MJ/(m2*hr)	NutCHRout	0.75	1	RC	1.135	0.223	Y
Nutrient	k_n	Michaelis-Menton half-saturation constant for nitrogen	mg/L	NutCHRout	0.02	1	RC	0.3	0.01	Y
Nutrient	k_p	Michaelis-Menton half-saturation constant for phosphorus	mg/L	NutCHRout	0.025	1	RC	0.05	0.001	Y
Nutrient	p_n	Algal preference factor for ammonia	mg/L	NutCHRout	0.5	1	RC	1	0	Y
Nutrient	igropt	Qual2E algae growth limiting option	none	NutCHRout	5	0	AC	10	0	Y
Nutrient	mumax	Maximum specific algal growth rate at 20 deg C	none	NutCHRout	2	1	RC	3	1	Y
Nutrient	rhoq	Algal respiration rate at 20 deg C	1/day	NutCHRout	0.3	1	RC	0.05	0.5	Y
Nutrient	tfact	Fraction of solar radiation that is photosynthetically active	none	NutCHRout	0.3	1	RC	1	0	Y
Nutrient	rnum1	Fraction of overland flow	none	NutCHRout	0.05	1	RC	1	0	Y
Nutrient	rs1	Ldeg Cal algal settling rate in the reach at 20 deg C	m/day	NutCHRout	1	1	RC	1.82	0.15	Y
Nutrient	rs2	Benthic (sediment) source rate for dissolved phosphorus in the reach at 20 deg C	mg disP-P)/((m**2)*day	NutCHRout	0.05	IMPACT	CHANGE	0.1	0.001	Y
Nutrient	rs3	Benthic source rate for NH4-N in the reach at 20 deg C	mg NH4-N)/((m**2)*day	NutCHRout	0.5	IMPACT	RC	1	0	Y
Nutrient	rs4	Rate coefficient for organic N settling in the reach at 20 deg C	1/day	NutCHRout	0.05	IMPACT	RC	0.1	0.001	Y
Nutrient	rs5	Organic phosphorus settling rate in the reach at 20 deg C	1/day	NutCHRout	0.05	1	CHANGE	0.1	0.001	Y
Nutrient	rk1	Carbonaceous biological oxygen demand deoxygenation rate coefficient in the reach at 20 deg C	1/day	NutCHRout	1.71	IMPACT	RC	3.4	0.02	Y
Nutrient	rk2	Oxygen reaeration rate in accordance with Fickian diffusion in the reach at 20 deg C	1/day	NutCHRout	50	0	AC	100	0	Y
Nutrient	rk3	Rate of loss of carbonaceous biological oxygen demand due to settling in the reach at 20 deg C	1/day	NutCHRout	0.36	1	RC	0.36	-0.36	Y
Nutrient	rk4	Benthic oxygen demand rate in the reach at 20 deg C	(m**2)*day)	NutCHRout	2	1	RC	100	0	Y
Nutrient	bc1	Rate constant for biological oxidation of NH4 to NO2 in the reach at 20 deg C	1/day	NutCHRout	0.55	1	RC	1	0.1	Y
Nutrient	bc2	Rate constant for biological oxidation of NO2 to NO3 in the reach at 20 deg C	1/day	NutCHRout	1.1	1	RC	2	0.2	Y
Nutrient	bc3	Rate constant for hydrolysis of organic N to NH4 in the reach at 20 deg C	1/day	NutCHRout	0.21	1	RC	0.4	0.2	Y
Nutrient	bc4	Rate constant for mineralization of organic P to dissolved P in the reach at 20 deg C	1/day	NutCHRout	0.35	1	RC	0.7	0.01	Y

PlantGrowth	epco	plant water uptake compensation factor		BIO_EPIC	1	1	RC	1	0.01	Y
PlantGrowth	n_updis	nitrogen uptake distribution parameter		BIO_EPIC	20	1	RC	100	0	Y
PlantGrowth	p_updis	phosphorus uptake distribution parameter		BIO_EPIC	20	1	RC	100	0	Y
PlantGrowth	nfixco	Nitrogen fixation coefficient		BIO_EPIC	0.5	1	RC	1	0	Y
PlantGrowth	nfixmx	Maximum daily-n fixation (kg/ha)	kg/ha	BIO_EPIC	20	1	RC	20	1	Y
PlantGrowth	dormhr	time threshold used to define dormant period for plant	hr	BIO_EPIC	0	1	AC	24	0	Y
PlantGrowth	cswat	carbon modeling method		MGT_SWAT	0	0	AC	2	0	Y
Bacteria	bact_swf	fraction of manure containing active colony forming units (cfu)		MGT_SWAT	0.15	1	RC	1	0	Y
Snow	SNOCOVMX	Minimum snow water content that corresponds to 100% snow cover.	mm	SNO_SP	1	0	AC	500	0	Y
Snow	SNO50COV	Fraction of snow water equivalent that corresponds to 50% snow cover.	None	SNO_SP	0.5	1	RC	1	0	Y


